vehicle_id;veh_bb_x1;veh_bb_y1;veh_bb_x2;veh_bb_y2;veh_bb_x3;veh_bb_y3;veh_bb_x4;veh_bb_y4;det_class;conf_score;state;parking_zone;timestamp_in;timestamp_out
340;1279.93;1056.24;1284.76;1039.91;1264.82;1034.01;1259.99;1050.34;10;0.72;stop;10;1;7518
343;1793.83;1660.75;1822.02;1658.99;1821.12;1644.5;1792.93;1646.26;10;0.73;stop;14;1;7518
344;3642.09;524.55;3652.53;495.86;3638.53;490.77;3628.1;519.46;10;0.75;stop;6;1;7518
346;1731.59;1698.52;1732.32;1683.49;1703.71;1682.11;1702.99;1697.14;10;0.73;stop;14;1;7518
347;785.22;631.37;785.98;617.84;757.72;616.25;756.96;629.79;10;0.76;stop;-1;;
348;2583.95;48.71;2612.38;45.77;2610.93;31.72;2582.5;34.66;10;0.75;stop;4;1;7518
349;1164.76;1930.08;1181.04;1929.42;1179.74;1897.17;1163.46;1897.83;10;0.73;stop;-1;;
350;1777.11;268.15;1792.97;266.41;1789.32;233.04;1773.47;234.77;10;0.78;stop;1;1;7518
351;2574.46;474.71;2588.75;473.7;2586.67;444.41;2572.38;445.43;10;0.74;stop;7;1;7518
352;2899.43;469.7;2927.73;466.55;2926.2;452.8;2897.9;455.95;10;0.76;stop;7;1;7518
354;2040.56;1604.02;2054.8;1603.26;2052.94;1568.48;2038.7;1569.24;10;0.74;stop;15;1;7518
355;2566.16;367.49;2578.97;366.47;2576.96;341.26;2564.15;342.28;10;0.74;stop;7;1;7518
357;1344.93;1179.38;1375.97;1177.94;1375.32;1164.0;1344.28;1165.44;10;0.72;stop;12;1;7518
358;1672.92;1168.04;1701.4;1167.07;1700.95;1153.96;1672.48;1154.93;10;0.72;stop;12;1;7518
359;2607.59;908.73;2623.67;907.59;2621.04;870.46;2604.96;871.6;10;0.7;stop;6;3065;7518
362;3567.27;610.79;3577.99;583.31;3564.29;577.96;3553.57;605.44;10;0.75;stop;6;1;7518
367;3310.78;1045.07;3328.81;1013.36;3314.53;1005.24;3296.5;1036.95;10;0.77;stop;6;1;7518
369;1330.54;1052.17;1360.86;1051.32;1360.46;1036.96;1330.14;1037.81;10;0.74;stop;10;1;7518
370;1933.49;1974.97;1937.72;1948.91;1924.6;1946.78;1920.37;1972.84;10;0.75;stop;-1;;
371;666.83;1062.27;693.85;1057.19;691.6;1045.23;664.58;1050.31;10;0.75;stop;10;1;7518
374;1340.64;1652.84;1341.23;1640.1;1315.48;1638.91;1314.9;1651.65;10;0.72;stop;14;1;7518
375;2173.91;534.17;2206.44;529.35;2204.22;514.33;2171.68;519.15;10;0.77;stop;7;1;7518
376;2133.34;1320.77;2160.49;1319.18;2159.66;1304.98;2132.51;1306.57;10;0.74;stop;13;1;7518
378;2477.9;1306.24;2505.2;1304.61;2504.35;1290.26;2477.05;1291.89;10;0.73;stop;13;1;7518
379;3317.65;959.84;3333.53;953.03;3318.92;918.91;3303.03;925.72;10;0.75;stop;6;1;7518
380;3186.47;1203.96;3188.79;1187.8;3154.78;1182.92;3152.46;1199.07;10;0.74;stop;11;1;7518
381;2045.12;1644.09;2056.95;1643.93;2056.63;1619.54;2044.8;1619.69;10;0.67;stop;15;1;7518
384;2455.9;63.59;2485.13;60.48;2483.6;46.1;2454.37;49.21;10;0.73;stop;4;1;7518
386;1278.21;1652.79;1305.16;1652.02;1304.79;1638.96;1277.84;1639.73;10;0.69;stop;14;1;7518
388;437.06;1645.86;437.38;1632.3;409.97;1631.64;409.65;1645.2;10;0.72;stop;18;1;7518
389;2100.31;1159.78;2134.99;1157.89;2134.19;1143.09;2099.51;1144.98;10;0.73;stop;11;1;7518
390;1178.94;1858.76;1179.53;1829.3;1163.87;1828.99;1163.29;1858.45;10;0.72;stop;-1;;
391;3738.4;272.39;3747.01;245.73;3733.47;241.36;3724.87;268.02;10;0.75;stop;6;1;7518
392;3690.21;440.08;3723.63;435.77;3721.66;420.54;3688.25;424.86;10;0.66;stop;6;1;7518
395;555.57;1185.08;585.82;1184.11;585.36;1169.92;555.12;1170.89;10;0.73;stop;12;5711;7518
396;521.46;1186.47;551.59;1185.37;551.04;1170.41;520.91;1171.51;10;0.74;stop;12;1;7518
397;2537.23;1822.54;2538.91;1791.72;2524.89;1790.96;2523.21;1821.78;10;0.7;stop;16;1;7518
400;2008.24;995.72;2022.13;992.06;2014.76;964.03;2000.87;967.69;10;0.69;stop;9;1;7518
401;2337.87;72.55;2370.47;68.93;2368.75;53.45;2336.15;57.07;10;0.72;stop;4;1;7518
